hs_code,hs_desc,year,country_code,country_name,value_usd,weight_kg,qty,price_usd_kg,value_lag1,growth_yoy
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2019,156,Chine,14574143.732,3677566.8,3677566.8,3.962985453316579,4117791.603,253.93106638475996
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2020,156,Chine,15879178.081,4288856.9,4288856.9,3.702426649161458,14574143.732,8.954449558052428
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2021,156,Chine,4489970.81,1149956.0,1149956.0,3.9044718319657443,15879178.081,-71.72416111780743
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2022,156,Chine,2555882.893,475357.8,475357.8,5.376755978338843,4489970.81,-43.07573476184803
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2023,156,Chine,10221072.682,1931083.1,1931083.1,5.292922237266744,2555882.893,299.90379488799215
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2018,251,France,57363.323,7440.0,7440.0,7.710124059139784,,
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2019,251,France,358103.512,46979.1,46979.1,7.62261328973948,57363.323,524.2726070803117
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2020,251,France,838787.501,131164.2,131164.2,6.394942377569489,358103.512,134.23045932037664
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2021,251,France,610917.336,91306.4,91306.4,6.69084900948893,838787.501,-27.16661427695738
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2022,251,France,112275.478,14085.0,14085.0,7.9712799432019885,610917.336,-81.62182158143897
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2023,251,France,299287.951,36525.0,36525.0,8.194057522245037,112275.478,166.56573308020117
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2017,276,Allemagne,16806.595,2123.99,2123.99,7.912746764344466,,
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2019,276,Allemagne,20019.701,2180.0,2180.0,9.183349082568808,16806.595,19.118125949961904
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2020,276,Allemagne,23049.122,3170.0,3170.0,7.271016403785489,20019.701,15.132199027348104
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2023,276,Allemagne,188.031,20.0,20.0,9.40155,23049.122,-99.18421621439637
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2017,380,Italie,38485705.353,5231477.37,5231477.37,7.356565388908487,,
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2018,380,Italie,27532302.823,3261152.86,3261152.86,8.442506072223797,38485705.353,-28.460963439627257
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2019,380,Italie,61009290.372,8170471.01,8170471.01,7.467046917776164,27532302.823,121.5916727497052
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2020,380,Italie,94895213.898,15454029.59,15454029.59,6.140483512429977,61009290.372,55.54223515694559
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2021,380,Italie,124108678.398,15007534.77,15007534.77,8.269757844978827,94895213.898,30.784971443766036
030743,"Molluscs; cuttle fish and squid, whether in shell or not, fr",2022,380,Italie,52915671.897,5774638.5,5774638.5,9.163460517398622,124108678.398,-57.36343938229164
